trial_number,1,2,3,4,5,6,7,8,9,10
1,1.0,0.9421588576254102,0.9524957021046232,0.9748883054950126,0.9642457758961825,0.9860641582171236,0.9167675501626235,0.965977904653559,0.9614936007356178,0.9240481158065608
2,0.9421588576254102,1.0,0.9281658767483609,0.9472002159018875,0.9428351824363004,0.9443794817261388,0.9268133855234425,0.9400588186339007,0.9345473868721377,0.928125137923376
3,0.9524957021046232,0.9281658767483609,1.0,0.9313502642725713,0.954841763335479,0.9420365782122881,0.9268043602811243,0.95287662084646,0.9611001681731506,0.9295709187424648
4,0.9748883054950126,0.9472002159018875,0.9313502642725713,1.0,0.9519410949946405,0.9692903794013571,0.908891871269903,0.9471754803254263,0.9492884629032169,0.9186047406423281
5,0.9642457758961825,0.9428351824363004,0.954841763335479,0.9519410949946405,1.0,0.9609157360662673,0.9207905334923557,0.9412951809937458,0.9475626689509945,0.9293187787423527
6,0.9860641582171236,0.9443794817261388,0.9420365782122881,0.9692903794013571,0.9609157360662673,1.0,0.9200155607730588,0.9612216072197708,0.959425008929379,0.9247099321296
7,0.9167675501626235,0.9268133855234425,0.9268043602811243,0.908891871269903,0.9207905334923557,0.9200155607730588,1.0,0.9104837632885368,0.9478767859776809,0.9344380491885598
8,0.965977904653559,0.9400588186339007,0.95287662084646,0.9471754803254263,0.9412951809937458,0.9612216072197708,0.9104837632885368,1.0,0.9615866178235155,0.9254980220527247
9,0.9614936007356178,0.9345473868721377,0.9611001681731506,0.9492884629032169,0.9475626689509945,0.959425008929379,0.9478767859776809,0.9615866178235155,1.0,0.9407574844803214
10,0.9240481158065608,0.928125137923376,0.9295709187424648,0.9186047406423281,0.9293187787423527,0.9247099321296,0.9344380491885598,0.9254980220527247,0.9407574844803214,1.0
