trial_number,1,2,3,4,5,6,7,8,9,10
1,1.0,0.9592493752890501,0.9392544760565661,0.9326886120228299,0.9794499106231033,0.958198179303058,0.9551373570696907,0.9312699896840594,0.9511685106378724,0.9493525841706272
2,0.9592493752890501,1.0,0.9560767638067021,0.9541912242139551,0.9682042145013913,0.9521448489916893,0.9743434171132795,0.9458734324257482,0.9699655430590314,0.9666719992497734
3,0.9392544760565661,0.9560767638067021,1.0,0.9497875525978768,0.9456673234311243,0.900066020507044,0.9473875636348643,0.9766128766138376,0.9603683125274718,0.9142956212212747
4,0.9326886120228299,0.9541912242139551,0.9497875525978768,1.0,0.938184774454564,0.919925965686211,0.9416539392081567,0.9410412026432032,0.9609274933315001,0.9260332941474877
5,0.9794499106231033,0.9682042145013913,0.9456673234311243,0.938184774454564,1.0,0.9703364994987549,0.972742464056813,0.9309091970678531,0.9588781715218898,0.9692098895656325
6,0.958198179303058,0.9521448489916893,0.900066020507044,0.919925965686211,0.9703364994987549,1.0,0.9509829549348333,0.8877936526548965,0.9381665957867765,0.9739380143198579
7,0.9551373570696907,0.9743434171132795,0.9473875636348643,0.9416539392081567,0.972742464056813,0.9509829549348333,1.0,0.9300174478064678,0.959774826010119,0.965148760435723
8,0.9312699896840594,0.9458734324257482,0.9766128766138376,0.9410412026432032,0.9309091970678531,0.8877936526548965,0.9300174478064678,1.0,0.9549978229945569,0.8996310723151708
9,0.9511685106378724,0.9699655430590314,0.9603683125274718,0.9609274933315001,0.9588781715218898,0.9381665957867765,0.959774826010119,0.9549978229945569,1.0,0.956028905543762
10,0.9493525841706272,0.9666719992497734,0.9142956212212747,0.9260332941474877,0.9692098895656325,0.9739380143198579,0.965148760435723,0.8996310723151708,0.956028905543762,1.0
