trial_number,1,2,3,4,5,6,7,8,9,10
1,1.0,0.9730696879867048,0.9864342523074017,0.9775388237848687,0.9733221599805498,0.9703719663781373,0.9798166929646247,0.9753692374782506,0.9552869573669607,0.9700846583382564
2,0.9730696879867048,1.0,0.9677020188061083,0.9624901812816975,0.9597346326184105,0.96879579845249,0.9649315680958357,0.9679088277172297,0.9599259045237171,0.9591744448607292
3,0.9864342523074017,0.9677020188061083,1.0,0.984354035256026,0.976804027582294,0.9754906394264824,0.9735905625829272,0.9839024759812338,0.9537436467073758,0.9740505815095511
4,0.9775388237848687,0.9624901812816975,0.984354035256026,1.0,0.9855121672108726,0.9698594121806318,0.9652850327549426,0.97409463563962,0.9601557487995074,0.979829894909665
5,0.9733221599805498,0.9597346326184105,0.976804027582294,0.9855121672108726,1.0,0.9834575755579205,0.9747428497993066,0.9668024673662348,0.9652737764085446,0.9720162343646065
6,0.9703719663781373,0.96879579845249,0.9754906394264824,0.9698594121806318,0.9834575755579205,1.0,0.9790162553970871,0.9650133481102464,0.9717948404518925,0.9616450641145221
7,0.9798166929646247,0.9649315680958357,0.9735905625829272,0.9652850327549426,0.9747428497993066,0.9790162553970871,1.0,0.9626699184111467,0.957180790419092,0.9582510981682636
8,0.9753692374782506,0.9679088277172297,0.9839024759812338,0.97409463563962,0.9668024673662348,0.9650133481102464,0.9626699184111467,1.0,0.945516410736831,0.9672060244762168
9,0.9552869573669607,0.9599259045237171,0.9537436467073758,0.9601557487995074,0.9652737764085446,0.9717948404518925,0.957180790419092,0.945516410736831,1.0,0.947588619687412
10,0.9700846583382564,0.9591744448607292,0.9740505815095511,0.979829894909665,0.9720162343646065,0.9616450641145221,0.9582510981682636,0.9672060244762168,0.947588619687412,1.0
