trial_number,1,2,3,4,5,6,7,8,9,10
1,1.0,0.6404672872166288,0.6719181257181411,0.6683785092062575,0.698614563126993,0.6403988343476137,0.6962938868305036,0.7053758497257661,0.6488354328738113,0.6801273863642661
2,0.6404672872166288,1.0,0.8753606217917328,0.8601348264365151,0.8686848915819125,0.8629076609919583,0.8357719775025472,0.8448882699237835,0.8510705400400864,0.9131140294200998
3,0.6719181257181411,0.8753606217917328,1.0,0.8469890655518788,0.8734052228200903,0.8537914896513222,0.8444799225538471,0.8959967283424893,0.8386831716448067,0.8873580194429281
4,0.6683785092062575,0.8601348264365151,0.8469890655518788,1.0,0.8979035999055149,0.863918322098482,0.8831020384974106,0.8323973898596616,0.7720523858278394,0.8887713789756181
5,0.698614563126993,0.8686848915819125,0.8734052228200903,0.8979035999055149,1.0,0.8918209717749955,0.8969914898318574,0.8883673494065957,0.8481766723561712,0.8597778590826551
6,0.6403988343476137,0.8629076609919583,0.8537914896513222,0.863918322098482,0.8918209717749955,1.0,0.9186322951920033,0.8929222341819746,0.8515055191994388,0.8880879444867241
7,0.6962938868305036,0.8357719775025472,0.8444799225538471,0.8831020384974106,0.8969914898318574,0.9186322951920033,1.0,0.8523828034955845,0.8258993208938118,0.8343101414888027
8,0.7053758497257661,0.8448882699237835,0.8959967283424893,0.8323973898596616,0.8883673494065957,0.8929222341819746,0.8523828034955845,1.0,0.8415939815718428,0.8798072654699676
9,0.6488354328738113,0.8510705400400864,0.8386831716448067,0.7720523858278394,0.8481766723561712,0.8515055191994388,0.8258993208938118,0.8415939815718428,1.0,0.8383089346371317
10,0.6801273863642661,0.9131140294200998,0.8873580194429281,0.8887713789756181,0.8597778590826551,0.8880879444867241,0.8343101414888027,0.8798072654699676,0.8383089346371317,1.0
