trial_number,1,2,3,4,5,6,7,8,9,10
1,1.0,0.9081210276892646,0.9214287655529602,0.885024231627249,0.8989608535818366,0.9019527208791729,0.9153681889680455,0.8919787344741142,0.9115469121244553,0.9018490290209762
2,0.9081210276892646,1.0,0.9793612911629788,0.9717751847787678,0.9784033276050542,0.97415515488032,0.9729557708056812,0.9595442686453173,0.9770252196719288,0.9819584280839576
3,0.9214287655529602,0.9793612911629788,1.0,0.9583217687194039,0.9582987698274887,0.9649020604907718,0.9669107244381532,0.9570615392932177,0.986537137731677,0.9727835266703015
4,0.885024231627249,0.9717751847787678,0.9583217687194039,1.0,0.9694516925430057,0.9656959367690147,0.9657452084358713,0.977852627906479,0.9673324953337791,0.9714357492240242
5,0.8989608535818366,0.9784033276050542,0.9582987698274887,0.9694516925430057,1.0,0.9588501155585035,0.9583665439553777,0.9664022353673839,0.9541021216647834,0.9638226676490663
6,0.9019527208791729,0.97415515488032,0.9649020604907718,0.9656959367690147,0.9588501155585035,1.0,0.9805439621941621,0.9640884774925492,0.9640634808853225,0.9727838980385706
7,0.9153681889680455,0.9729557708056812,0.9669107244381532,0.9657452084358713,0.9583665439553777,0.9805439621941621,1.0,0.9615357237544904,0.9672228508450564,0.9706587386327309
8,0.8919787344741142,0.9595442686453173,0.9570615392932177,0.977852627906479,0.9664022353673839,0.9640884774925492,0.9615357237544904,1.0,0.9668539939464796,0.9678816201987611
9,0.9115469121244553,0.9770252196719288,0.986537137731677,0.9673324953337791,0.9541021216647834,0.9640634808853225,0.9672228508450564,0.9668539939464796,1.0,0.9812402747599244
10,0.9018490290209762,0.9819584280839576,0.9727835266703015,0.9714357492240242,0.9638226676490663,0.9727838980385706,0.9706587386327309,0.9678816201987611,0.9812402747599244,1.0
