experiment_id,model,strategy,student_name,question_number,weighted_score_pred,status,timestamp,grade_pred,weighted_score_gold,grade_gold,score_diff,grade_match
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,1,2.9,completed,2025-12-10T23:46:00.057396,C,3.0,B,-0.10000000000000009,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,1,2.9,completed,2025-12-10T23:46:00.057396,C,3.0,B,-0.10000000000000009,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,2,2.3,completed,2025-12-10T23:46:11.276559,C,2.0,C,0.2999999999999998,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,2,2.3,completed,2025-12-10T23:46:11.276559,C,2.0,C,0.2999999999999998,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,3,3.2,completed,2025-12-10T23:46:22.145728,B,1.1,D,2.1,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,3,3.2,completed,2025-12-10T23:46:22.145728,B,1.1,D,2.1,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,4,1.8,completed,2025-12-10T23:46:32.915723,D,1.1,D,0.7,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,4,1.8,completed,2025-12-10T23:46:32.915723,D,1.1,D,0.7,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,5,1.8,completed,2025-12-10T23:46:43.213100,D,1.1,D,0.7,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,5,1.8,completed,2025-12-10T23:46:43.213100,D,1.1,D,0.7,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,6,2.9,completed,2025-12-10T23:46:53.816299,C,2.2,C,0.6999999999999997,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,6,2.9,completed,2025-12-10T23:46:53.816299,C,2.2,C,0.6999999999999997,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,7,1.8,completed,2025-12-10T23:47:04.119390,D,1.1,D,0.7,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 1,7,1.8,completed,2025-12-10T23:47:04.119390,D,1.1,D,0.7,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,1,2.9,completed,2025-12-10T23:52:16.876479,C,3.2,B,-0.30000000000000027,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,1,2.9,completed,2025-12-10T23:52:16.876479,C,3.2,B,-0.30000000000000027,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,2,2.9,completed,2025-12-10T23:52:28.148044,C,3.0,B,-0.10000000000000009,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,2,2.9,completed,2025-12-10T23:52:28.148044,C,3.0,B,-0.10000000000000009,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,3,3.2,completed,2025-12-10T23:52:38.632635,B,1.8,D,1.4000000000000001,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,3,3.2,completed,2025-12-10T23:52:38.632635,B,1.8,D,1.4000000000000001,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,4,1.8,completed,2025-12-10T23:52:49.321684,D,1.8,D,0.0,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,4,1.8,completed,2025-12-10T23:52:49.321684,D,1.8,D,0.0,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,5,2.7,completed,2025-12-10T23:53:00.125718,C,1.1,D,1.6,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,5,2.7,completed,2025-12-10T23:53:00.125718,C,1.1,D,1.6,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,6,2.9,completed,2025-12-10T23:53:11.516295,C,3.1,B,-0.20000000000000018,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,6,2.9,completed,2025-12-10T23:53:11.516295,C,3.1,B,-0.20000000000000018,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,7,3.2,completed,2025-12-10T23:53:22.455779,B,1.2,D,2.0,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 12,7,3.2,completed,2025-12-10T23:53:22.455779,B,1.2,D,2.0,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,1,2.9,completed,2025-12-10T23:53:33.083655,C,3.2,B,-0.30000000000000027,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,1,2.9,completed,2025-12-10T23:53:33.083655,C,3.2,B,-0.30000000000000027,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,2,3.3,completed,2025-12-10T23:53:43.704766,B,2.7,C,0.5999999999999996,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,2,3.3,completed,2025-12-10T23:53:43.704766,B,2.7,C,0.5999999999999996,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,3,3.3,completed,2025-12-10T23:53:54.342561,B,1.8,D,1.4999999999999998,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,3,3.3,completed,2025-12-10T23:53:54.342561,B,1.8,D,1.4999999999999998,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,4,2.0,completed,2025-12-10T23:54:05.215910,C,2.0,C,0.0,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,4,2.0,completed,2025-12-10T23:54:05.215910,C,2.0,C,0.0,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,5,1.8,completed,2025-12-10T23:54:15.982058,D,1.1,D,0.7,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,5,1.8,completed,2025-12-10T23:54:15.982058,D,1.1,D,0.7,True
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,6,2.9,completed,2025-12-10T23:54:26.572011,C,3.2,B,-0.30000000000000027,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,6,2.9,completed,2025-12-10T23:54:26.572011,C,3.2,B,-0.30000000000000027,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,7,2.3,completed,2025-12-10T23:54:37.970645,C,1.1,D,1.1999999999999997,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 13,7,2.3,completed,2025-12-10T23:54:37.970645,C,1.1,D,1.1999999999999997,False
exp_gemini_lenient_05,gemini,lenient,Mahasiswa 14,1,3.1,completed,2025-12-10T23:54:48.465814,B,3.2,B,-0.10000000000000009,True
