experiment_id,model,strategy,student_name,question_number,weighted_score_pred,status,timestamp,grade_pred,weighted_score_gold,grade_gold,score_diff,grade_match
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,1,3.2,completed,2025-12-10T21:04:01.580156,B,3.0,B,0.20000000000000018,True
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,1,3.2,completed,2025-12-10T21:04:01.580156,B,3.0,B,0.20000000000000018,True
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,2,3.0,completed,2025-12-10T21:04:07.720448,B,2.0,C,1.0,False
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,2,3.0,completed,2025-12-10T21:04:07.720448,B,2.0,C,1.0,False
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,3,2.0,completed,2025-12-10T21:04:14.786010,C,1.1,D,0.8999999999999999,False
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,3,2.0,completed,2025-12-10T21:04:14.786010,C,1.1,D,0.8999999999999999,False
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,4,1.8,completed,2025-12-10T21:04:21.267510,D,1.1,D,0.7,True
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,4,1.8,completed,2025-12-10T21:04:21.267510,D,1.1,D,0.7,True
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,5,1.8,completed,2025-12-10T21:04:28.809689,D,1.1,D,0.7,True
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,5,1.8,completed,2025-12-10T21:04:28.809689,D,1.1,D,0.7,True
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,6,3.0,completed,2025-12-10T21:04:37.526215,B,2.2,C,0.7999999999999998,False
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,6,3.0,completed,2025-12-10T21:04:37.526215,B,2.2,C,0.7999999999999998,False
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,7,2.0,completed,2025-12-10T21:04:44.079237,C,1.1,D,0.8999999999999999,False
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 1,7,2.0,completed,2025-12-10T21:04:44.079237,C,1.1,D,0.8999999999999999,False
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 12,1,3.0,completed,2025-12-10T21:08:41.479977,B,3.2,B,-0.20000000000000018,True
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 12,1,3.0,completed,2025-12-10T21:08:41.479977,B,3.2,B,-0.20000000000000018,True
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 12,2,3.0,completed,2025-12-10T21:08:51.792732,B,3.0,B,0.0,True
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 12,2,3.0,completed,2025-12-10T21:08:51.792732,B,3.0,B,0.0,True
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 12,3,2.7,completed,2025-12-10T21:08:58.508427,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 12,3,2.7,completed,2025-12-10T21:08:58.508427,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 12,4,2.7,completed,2025-12-10T21:09:06.340808,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 12,4,2.7,completed,2025-12-10T21:09:06.340808,C,1.8,D,0.9000000000000001,False
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 12,5,1.8,completed,2025-12-10T21:09:14.260226,D,1.1,D,0.7,True
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 12,5,1.8,completed,2025-12-10T21:09:14.260226,D,1.1,D,0.7,True
exp_chatgpt_lenient_03,chatgpt,lenient,Mahasiswa 12,6,3.1,completed,2025-12-10T21:09:20.861745,B,3.1,B,0.0,True
