strategy,metric,chatgpt,gemini,difference,percent_diff,winner
lenient,mae,0.6257142857142857,0.782857142857143,-0.15714285714285736,-20.072992700729948,ChatGPT
lenient,exact_match,60.0,44.285714285714285,15.714285714285715,35.483870967741936,ChatGPT
lenient,cohens_kappa,0.4299011052937754,0.2139360783184566,0.2159650269753188,100.94839013260868,ChatGPT
lenient,pearson_r,0.9080739830340328,0.5333454425345152,0.37472854049951754,70.26000610763018,ChatGPT
zero-shot,mae,0.13,0.5385714285714286,-0.4085714285714286,-75.86206896551724,ChatGPT
zero-shot,exact_match,80.0,60.0,20.0,33.33333333333333,ChatGPT
zero-shot,cohens_kappa,0.6782665791201575,0.4135248354278875,0.26474174369227005,64.0207603053232,ChatGPT
zero-shot,pearson_r,0.9549279788268684,0.6943869847660263,0.2605409940608421,37.52100770561409,ChatGPT
few-shot,mae,0.2242857142857143,0.6185714285714288,-0.39428571428571446,-63.74133949191687,ChatGPT
few-shot,exact_match,77.14285714285715,52.85714285714286,24.285714285714292,45.94594594594595,ChatGPT
few-shot,cohens_kappa,0.6510903426791277,0.3306288032454361,0.3204615394336916,96.92487051583434,ChatGPT
few-shot,pearson_r,0.9098087037427932,0.7197492286749322,0.19005947506786103,26.406346474002206,ChatGPT
